Date,Ticker,Open,High,Low,Close,Volume,Target
2020-02-28,SOXL,11.466667175292969,13.866000175476074,11.446666717529297,13.666666984558104,45580500.0,1
2020-03-02,SOXL,14.5,15.02066707611084,13.02066707611084,15.020000457763672,36516000.0,1
2020-03-03,SOXL,15.210000038146973,15.822667121887209,13.118000030517578,13.499333381652832,32919000.0,1
2020-03-04,SOXL,14.30666732788086,15.489999771118164,13.736000061035156,15.475333213806152,20538000.0,1
2020-03-05,SOXL,14.190667152404783,15.28600025177002,13.734000205993652,14.087332725524902,23968500.0,1
2020-03-06,SOXL,13.0,13.565999984741213,12.199999809265137,13.240667343139648,26310000.0,1
2020-03-09,SOXL,10.135333061218262,11.792667388916016,9.866666793823242,9.88599967956543,31191000.0,1
2020-03-10,SOXL,11.128000259399414,11.773332595825195,9.93333339691162,11.773332595825195,33006000.0,1
2020-03-11,SOXL,10.719332695007324,11.13266658782959,9.420000076293944,9.776000022888184,33735000.0,1
2020-03-12,SOXL,7.77400016784668,8.915332794189453,6.801332950592041,6.802667140960693,47734500.0,1
2020-03-13,SOXL,8.074000358581543,8.733332633972168,6.533332824707031,8.661333084106445,43620000.0,1
2020-03-16,SOXL,5.98533296585083,7.097332954406738,5.266666889190674,5.318666934967041,47341500.0,1
2020-03-17,SOXL,5.320000171661377,5.992000102996826,4.380667209625244,5.847332954406738,73488000.0,1
2020-03-18,SOXL,4.600666999816895,5.263999938964844,3.566667079925537,4.333333015441895,67953000.0,1
2020-03-19,SOXL,4.215332984924316,5.065999984741211,3.849999904632568,4.662000179290772,67534500.0,1
2020-03-20,SOXL,5.220666885375977,5.432666778564453,4.25333309173584,4.263332843780518,63204000.0,1
2020-03-23,SOXL,4.533332824707031,4.938666820526123,4.0873332023620605,4.659999847412109,63927000.0,1
2020-03-24,SOXL,5.570000171661377,6.265999794006348,5.547332763671875,6.249332904815674,67669500.0,1
2020-03-25,SOXL,6.363333225250244,7.013332843780518,5.707333087921143,6.004666805267334,65236500.0,1
2020-03-26,SOXL,6.469333171844482,7.266666889190674,6.266666889190674,7.205333232879639,55215000.0,1
2020-03-27,SOXL,6.47866678237915,6.815332889556885,6.048666954040527,6.0960001945495605,51672000.0,1
2020-03-30,SOXL,6.330667018890381,6.798666954040527,6.157332897186279,6.751999855041504,39718500.0,1
2020-03-31,SOXL,6.76200008392334,7.082666873931885,6.164000034332275,6.315999984741211,50964000.0,1
2020-04-01,SOXL,5.687333106994629,6.156000137329102,5.1066670417785645,5.294000148773193,47541000.0,1
2020-04-02,SOXL,5.184000015258789,5.797332763671875,5.175333023071289,5.778666973114014,43654500.0,1
2020-04-03,SOXL,5.783999919891357,5.960667133331299,5.208000183105469,5.435332775115967,43627500.0,1
2020-04-06,SOXL,6.133333206176758,7.179333209991455,6.125999927520752,7.102666854858398,51997500.0,1
2020-04-07,SOXL,7.909333229064941,7.97933292388916,6.9806671142578125,7.013332843780518,79462500.0,1
2020-04-08,SOXL,7.3933329582214355,7.802000045776367,7.064000129699707,7.716000080108643,50287500.0,1
2020-04-09,SOXL,8.040666580200195,8.22933292388916,6.986000061035156,7.210000038146973,75898500.0,1
2020-04-13,SOXL,7.159999847412109,7.5233330726623535,6.9633331298828125,7.46999979019165,36957000.0,1
2020-04-14,SOXL,7.992667198181152,8.492667198181152,7.940667152404785,8.461999893188477,51487500.0,1
2020-04-15,SOXL,7.972667217254639,7.973999977111816,7.505332946777344,7.775332927703857,37128000.0,1
2020-04-16,SOXL,8.157333374023438,8.434666633605957,7.834000110626221,8.347332954406738,47277000.0,1
2020-04-17,SOXL,8.856666564941406,8.887999534606934,8.266667366027832,8.564000129699707,47445000.0,1
2020-04-20,SOXL,8.200667381286621,8.566666603088379,8.0,8.011333465576172,35502000.0,1
2020-04-21,SOXL,7.642666816711426,7.77400016784668,6.767333030700684,6.886000156402588,60042000.0,1
2020-04-22,SOXL,7.495333194732666,8.183333396911621,7.413332939147949,8.03933334350586,37150500.0,1
2020-04-23,SOXL,8.080666542053223,8.33666706085205,7.75333309173584,7.835332870483398,42906000.0,1
2020-04-24,SOXL,7.863999843597412,8.378000259399414,7.626667022705078,8.333999633789062,34429500.0,1
2020-04-27,SOXL,8.666666984558105,8.917332649230957,8.543999671936035,8.670666694641113,42303000.0,1
2020-04-28,SOXL,9.13266658782959,9.288000106811523,8.501999855041504,8.535332679748535,55147500.0,1
2020-04-29,SOXL,8.971332550048828,9.850000381469728,8.9313325881958,9.760000228881836,42030000.0,1
2020-04-30,SOXL,9.624667167663574,9.655332565307615,8.668000221252441,8.734000205993652,55264500.0,1
2020-05-01,SOXL,8.133333206176758,8.166666984558105,7.320000171661377,7.406667232513428,65224500.0,1
2020-05-04,SOXL,7.208666801452637,7.636000156402588,7.133999824523926,7.614666938781738,35217000.0,1
2020-05-05,SOXL,8.050666809082031,8.434666633605957,7.847332954406738,8.000666618347168,47706000.0,1
2020-05-06,SOXL,8.266667366027832,8.657999992370605,8.21399974822998,8.277999877929688,46401000.0,1
